title,doi,abstract
Burnout among physicians,[],"Burnout is a common syndrome seen in healthcare workers, particularly physicians who are exposed to a high level of stress at work; it includes emotional exhaustion, depersonalization, and low personal accomplishment. Burnout among physicians has garnered significant attention because of the negative impact it renders on patient care and medical personnel. Physicians who had high burnout levels reportedly committed more medical errors. Stress management programs that range from relaxation to cognitive-behavioral and patient-centered therapy have been found to be of utmost significance when it comes to preventing and treating burnout. However, evidence is insufficient to support that stress management programs can help reducing job-related stress beyond the intervention period, and similarly mindfulness-based stress reduction interventions efficiently reduce psychological distress and negative vibes, and encourage empathy while significantly enhancing physicians' quality of life. On the other hand, a few small studies have suggested that Balint sessions can have a promising positive effect in preventing burnout; moreover exercises can reduce anxiety levels and exhaustion symptoms while improving the mental and physical well-being of healthcare workers. Occupational interventions in the work settings can also improve the emotional and work-induced exhaustion. Combining both individual and organizational interventions can have a good impact in reducing burnout scores among physicians; therefore, multidisciplinary actions that include changes in the work environmental factors along with stress management programs that teach people how to cope better with stressful events showed promising solutions to manage burnout. However, until now there have been no rigorous studies to prove this. More interventional research targeting medical students, residents, and practicing physicians are needed in order to improve psychological well-being, professional careers, as well as the quality of care provided to patients."
"A neural biomarker, the error-related negativity, predicts the first onset of generalized anxiety disorder in a large sample of adolescent females",[],Objective:                         An increased neural response to making mistakes has emerged as a potential biomarker of anxiety across development. The error-related negativity (ERN) is an event-related potential elicited when people make mistakes on simple laboratory-based reaction time tasks that has been associated with risk for anxiety. This study examined whether the ERN prospectively predicted the first onset of generalized anxiety disorder (GAD) over 1.5 years in adolescent girls.
Unpredictability increases the error-related negativity in children and adolescents,[],"The error-related negativity (ERN) is a response-locked component in the event-related potential observed asa negative deflection 50-100ms following the commission of an error. An unpredictable context has been shown to potentiate amygdala activity, attentional bias toward threat, and the ERN in adults. However, it is unclear whether the impact of unpredictability on the ERN is also observed in children and adolescents. In a sample of 32 9-17year-old participants, we examined the influence of a task-irrelevant unpredictable context on neural response to errors. Participants completed a flanker task designed to elicit the ERN, while simultaneously being exposed to task-irrelevant tone sequences with either predictable or unpredictable timing. Unpredictable tones were rated as more anxiety provoking compared to the predictable tones. Fewer errors were made during unpredictable relative to predictable tones. Moreover, the ERN-but not the correct response negativity (CRN) or stimulus-locked N200-was potentiated during the unpredictable relative to predictable tones. The current study replicates and extends previous findings by demonstrating that an unpredictable context can increase task performance and selectively potentiate the ERN in children and adolescents. ERN magnitude can be modulated by environmental factors suggesting enhanced error processing in unpredictable contexts."
The development of the error-related negativity in large sample of adolescent females: Associations with anxiety symptoms,[],"Anxiety is the most common form of psychopathology and tends to begin early in the course of development. Given this, there is great interest in identifying developmental changes in neural systems that may delineate healthy versus anxious trajectories. A substantial amount of work has focused on the error-related negativity as a neural marker of anxiety. The ERN is a negative deflection in the event-related potential that occurs when individuals make mistakes and is increased in anxious individuals. A separate body of work has focused on normative developmental changes in the ERN - demonstrating an age-related increase in the ERN that occurs across childhood and adolescence. In the current study, we examine the ERN in relation to specific phenotypic expressions of anxiety during a core risk period in a sample of females (N = 220) ranging from 8 to 14 years old. Results from the current study suggest that error-related brain activity is related to both parent and child report of social anxiety symptoms, even when controlling for all other symptom scales. Additionally, mediation models suggest that the normative developmental increase observed in the ERN is partially mediated by increases in social anxiety symptoms. The current results are novel insofar as they identify a specific phenotypic expression of anxiety that underlies developmental increases in this neural biomarker."
The misattribution of emotions and the error-related negativity: A registered report,[],"A growing body of work in social and affective neuroscience suggests that emotion plays an instrumental role in error monitoring processes, rather than only a moderating one. High-powered replications of studies that support this idea, however, are lacking. Here, we attempted a preregistered replication of our own study that had provided evidence for the functional role of emotions in error monitoring: that a neural signal of error monitoring-the error-related negativity-is reduced when participants undergo a misattribution of arousal procedure (Inzlicht & Al-Khindi, 2012). Like a previous replication attempt (Rodilla et al, 2016), our misattribution procedure failed to reduce the amplitude of the ERN. However, it also failed its manipulation check to reduce state anxiety, limiting the conclusions we can draw. Nonetheless, these findings are consistent with the view that our original study may have been a false positive. We discuss these findings in the context of the replication crisis in psychology and of work on the emotional properties of the ERN."
Developmental pathways to social anxiety and irritability: The role of the ERN,[],"Early behaviors that differentiate later biomarkers for psychopathology can guide preventive efforts while also facilitating pathophysiological research. We tested whether error-related negativity (ERN) moderates the link between early behavior and later psychopathology in two early childhood phenotypes: behavioral inhibition and irritability. From ages 2 to 7 years, children (n = 291) were assessed longitudinally for behavioral inhibition (BI) and irritability. Behavioral inhibition was assessed via maternal report and behavioral responses to novelty. Childhood irritability was assessed using the Child Behavior Checklist. At age 12, an electroencephalogram (EEG) was recorded while children performed a flanker task to measure ERN, a neural indicator of error monitoring. Clinical assessments of anxiety and irritability were conducted using questionnaires (i.e., Screen for Child Anxiety Related Disorders and Affective Reactivity Index) and clinical interviews. Error monitoring interacted with early BI and early irritability to predict later psychopathology. Among children with high BI, an enhanced ERN predicted greater social anxiety at age 12. In contrast, children with high childhood irritability and blunted ERN predicted greater irritability at age 12. This converges with previous work and provides novel insight into the specificity of pathways associated with psychopathology."
A biomarker of anxiety in children and adolescents: A review focusing on the error-related negativity (ERN) and anxiety across development,[],"Background:                         Anxiety disorders are the most common form of psychopathology and often begin early in development. Therefore, there is interest in identifying neural biomarkers that characterize pathways leading to anxiety disorders early in the course of development. A substantial amount of work focuses on the error-related negativity (ERN) as a biomarker of anxiety. While two previous reviews have focused on the relationship of the ERN and anxiety in adults, no previous review has focused on this issue in children and adolescents."
"Error-related brain activity as a transdiagnostic endophenotype for obsessive-compulsive disorder, anxiety and substance use disorder",[],"Background:                         Increased neural error-signals have been observed in obsessive-compulsive disorder (OCD), anxiety disorders, and inconsistently in depression. Reduced neural error-signals have been observed in substance use disorders (SUD). Thus, alterations in error-monitoring are proposed as a transdiagnostic endophenotype. To strengthen this notion, data from unaffected individuals with a family history for the respective disorders are needed."
Increased error-related negativity (ERN) in childhood anxiety disorders: ERP and source localization,[],Background:                         In this study we used event-related potentials (ERPs) and source localization analyses to track the time course of neural activity underlying response monitoring in children diagnosed with an anxiety disorder compared to age-matched low-risk normal controls.
Gender differences in neural correlates of stress-induced anxiety,[],"Although gender differences have been identified as a crucial factor for understanding stress-related anxiety and associated clinical disorders, the neural mechanisms underlying these differences remain unclear. To explore gender differences in the neural correlates of stress-induced anxiety, the current study used functional magnetic resonance imaging to examine brain responses in 96 healthy men and women with commensurable levels of trait anxiety as they engaged in a personalized guided imagery paradigm to provoke stress and neutral-relaxing experiences. During the task, a significant gender main effect emerged, with men displaying greater responses in the caudate, cingulate gyrus, midbrain, thalamus, and cerebellum. In contrast, women showed greater responses in the posterior insula, temporal gyrus, and occipital lobe. Additionally, a significant anxiety ratings × gender interaction from whole-brain regression analyses was observed in the dorsomedial prefrontal cortex, left inferior parietal lobe, left temporal gyrus, occipital gyrus, and cerebellum (P < 0.05, whole-brain family-wise error corrected), with positive associations between activity in these regions and stress-induced anxiety in women, but negative associations in men, indicating that men and women differentially use neural resources when experiencing stress-induced anxiety. The findings suggest that in response to stress, there is a greater use of the medial prefrontal-parietal cortices in experiencing subjective anxiety in women, while decreased use of this circuit was associated with increased subjective anxiety states in men. The current study has implications for understanding gender-specific differences in stress-induced anxiety and vulnerability to stress-related clinical disorders, and for developing more effective treatment strategies tailored to each gender. © 2016 Wiley Periodicals, Inc."
Psychometric properties of the error-related negativity in children and adolescents,[],"Error processing is frequently examined using the error-related negativity (ERN), a negative-going event-related potential occurring after the commission of an error at frontal-central sites, and has been suggested as a neural biomarker that may be useful in characterizing trajectories of risk for anxiety. While the ERN has been shown to have excellent psychometric properties in adults, few studies have examined psychometric properties of the ERN in children and adolescents. The current study examined the 2-year test-retest reliability of the ERN in a sample of children and adolescents, and the convergent validity of the ERN using a flanker and go/no-go task. Results suggest that the ERN is both reliable and stable across 2 years and across tasks. However, results also indicate that the internal consistency obtained using the flanker task is greater than the internal consistency obtained using the go/no-go task."
Error-related negativity (ERN) and sustained threat: Conceptual framework and empirical evaluation in an adolescent sample,[],"The error-related negativity (ERN) currently appears as a physiological measure in relation to three Research Domain Criteria (RDoC) constructs: Cognitive Control, Sustained Threat, and Reward Learning. We propose a conceptual model in which variance in the ERN reflects individual differences in the degree to which errors are evaluated as threatening. We also discuss evidence for the placement of the ERN in the ""Sustained Threat"" construct, as well as evidence that the ERN may more specifically reflect sensitivity to endogenous threat. Following this, we present data from a sample of 515 adolescent females demonstrating a larger ERN in relation to self-reported checking behaviors, but only in older adolescents, suggesting that sensitivity to internal threat and the ERN-checking relationship may follow a developmental course as adolescents develop behavioral control. In contrast, depressive symptoms were linked to a smaller ERN, and this association was invariant with respect to age. Collectively, these data suggest that the magnitude of the ERN is sensitive both to specific anxiety-related processes and depression, in opposing directions that may reflect variation in internal threat sensitivity. We discuss directions for future research, as well as ways in which findings for the ERN complement and challenge aspects of the current RDoC matrix."
Increased error-related brain activity distinguishes generalized anxiety disorder with and without comorbid major depressive disorder,[],"Generalized anxiety disorder (GAD) and major depressive disorder (MDD) are so frequently comorbid that some have suggested that the 2 should be collapsed into a single overarching ""distress"" disorder. Yet there is also increasing evidence that the 2 categories are not redundant. Neurobehavioral markers that differentiate GAD and MDD would be helpful in ongoing efforts to refine classification schemes based on neurobiological measures. The error-related negativity (ERN) may be one such marker. The ERN is an event-related potential component presenting as a negative deflection approximately 50 ms following an erroneous response and reflects activity of the anterior cingulate cortex. There is evidence for an enhanced ERN in individuals with GAD, but the literature in MDD is mixed. The present study measured the ERN in 26 GAD, 23 comorbid GAD and MDD, and 36 control participants, all of whom were female and medication-free. Consistent with previous research, the GAD group was characterized by a larger ERN and an increased difference between error and correct trials than controls. No such enhancement was evident in the comorbid group, suggesting comorbid depression may moderate the relationship between the ERN and anxiety. The present study further suggests that the ERN is a potentially useful neurobiological marker for future studies that consider the pathophysiology of multiple disorders in order to construct or refine neurobiologically based diagnostic phenotypes."
Error-related brain activity and anxiety symptoms in youth with autism spectrum disorder,[],"Individuals with autism spectrum disorder (ASD) often experience symptoms associated with generalized anxiety disorder, obsessive-compulsive disorder, and social anxiety disorder. In other populations, these same symptoms are associated with a larger error-related negativity (ERN), an event-related potential that reflects endogenous threat sensitivity. As such, it is possible that the ERN may relate to the clinical presentation of anxiety in ASD. However, studies examining these associations in youth with ASD have yielded mixed results. The present study aimed to clarify this relationship by examining the ERN in relation to these specific anxiety symptoms in ASD, and by accounting for typical covariates (e.g., age, verbal abilities, depression, ASD symptoms) of the ERN. Fifty-one youth, ages 8-17, with ASD and intact cognitive ability completed a modified Flanker task, from which the ERN component was obtained. Measures of anxiety, verbal abilities, depression, and ASD symptoms were collected from participants and parents. Results revealed that greater self-reported social anxiety symptoms, specifically performance fears but not humiliation/rejection fears, were associated with an increased neural response to errors, as measured by the ERN. This relationship remained after controlling for other anxiety symptoms, as well as age, verbal IQ, depression symptoms, and ASD symptoms. Findings suggest that heightened threat sensitivity may be characteristic of individuals with ASD who exhibit social fearfulness. Autism Res 2018, 11: 342-354. © 2017 International Society for Autism Research, Wiley Periodicals, Inc."
A trans-diagnostic perspective on obsessive-compulsive disorder,[],"Progress in understanding the underlying neurobiology of obsessive-compulsive disorder (OCD) has stalled in part because of the considerable problem of heterogeneity within this diagnostic category, and homogeneity across other putatively discrete, diagnostic categories. As psychiatry begins to recognize the shortcomings of a purely symptom-based psychiatric nosology, new data-driven approaches have begun to be utilized with the goal of solving these problems: specifically, identifying trans-diagnostic aspects of clinical phenomenology based on their association with neurobiological processes. In this review, we describe key methodological approaches to understanding OCD from this perspective and highlight the candidate traits that have already been identified as a result of these early endeavours. We discuss how important inferences can be made from pre-existing case-control studies as well as showcasing newer methods that rely on large general population datasets to refine and validate psychiatric phenotypes. As exemplars, we take 'compulsivity' and 'anxiety', putatively trans-diagnostic symptom dimensions that are linked to well-defined neurobiological mechanisms, goal-directed learning and error-related negativity, respectively. We argue that the identification of biologically valid, more homogeneous, dimensions such as these provides renewed optimism for identifying reliable genetic contributions to OCD and other disorders, improving animal models and critically, provides a path towards a future of more targeted psychiatric treatments."
"Emotional Intelligence, Motivational Climate and Levels of Anxiety in Athletes from Different Categories of Sports: Analysis through Structural Equations",[],"(1) Background: Psychological factors can strongly affect the athletes&rsquo; performance. Therefore, currently the role of the sports psychologist is particularly relevant, being in charge of training the athlete&rsquo;s psychological factors. This study aims at analysing the connections between motivational climate in sport, anxiety and emotional intelligence depending on the type of sport practised (individual/team) by means of a multigroup structural equations analysis. (2) 372 semi-professional Spanish athletes took part in this investigation, analysing motivational climate (PMCSQ-2), emotional intelligence (SSRI) and levels of anxiety (STAI). A model of multigroup structural equations was carried out which fitted accordingly (&chi;² = 586.77; df = 6.37; p < 0.001; Comparative Fit Index (CFI) = 0.951; Normed Fit Index (NFI) = 0.938; Incremental Fit Index (IFI) = 0.947; Root Mean Square Error of Approximation (RMSEA) = 0.069). (3) Results: A negative and direct connection has been found between ego oriented climate and task oriented climate, which is stronger and more differentiated in team sports. The most influential indicator in ego oriented climate is intra-group rivalry, exerting greater influence in individual sports. For task-oriented climate the strongest indicator is having an important role in individual sports, while in team sports it is cooperative learning. Emotional intelligence dimensions correlate more strongly in team sports than in individual sports. In addition, there was a negative and indirect relation between task oriented climate and trait-anxiety in both categories of sports. (4) Conclusions: This study shows how the task-oriented motivational climate or certain levels of emotional intelligence can act preventively in the face of anxiety states in athletes. Therefore, the development of these psychological factors could prevent anxiety states and improve performance in athletes."
"Characterizing emotional Stroop interference in posttraumatic stress disorder, major depression and anxiety disorders: A systematic review and meta-analysis",[],"Background:                         Posttraumatic stress disorder is a debilitating psychiatric disorder characterized by symptoms of intrusive re-experiencing of trauma, avoidance and hyper-arousal. Diagnosis and treatment of PTSD is further complicated by concurrently occurring disorders, the most frequent being major depressive disorder and anxiety disorders. Previous research highlights that attentional processing in posttraumatic stress disorder is associated with substantial interference by emotional stimuli, a phenomenon also observed in these concurrently occurring psychiatric disorders. However, the diagnosis-relevance of this interference remains elusive. Here, we investigated the emotional Stroop interference for diagnosis-related stimuli, generally negative stimuli, and generally positive stimuli in posttraumatic stress disorder, major depressive disorder and anxiety disorders."
Anxiety and error-related brain activity,[],"Error-related negativity (ERN/Ne) is a component of the event-related brain potential (ERP) associated with monitoring action and detecting errors. It is a sharp negative deflection that generally occurs from 50 to 150 ms following response execution and has been associated with anterior cingulate cortex (ACC) activity. An enhanced ERN has been observed in patients with obsessive-compulsive disorder (OCD)--reflecting abnormal ACC activity hypothesized as part of the pathophysiology of OCD. We recently reported that the ERN is also enhanced in a group of college students with OC characteristics. The present study extended these findings by measuring the ERN in college undergraduates who scored high on either the Penn State Worry Questionnaire (PSWQ) or a combined version of the Snake (SNAQ) and Spider (SPQ) Questionnaires. Results indicate that, like OC subjects, subjects who score high on a measure of general anxiety and worry have enhanced error-related brain activity relative to both phobic and non-anxious control subjects. The enhanced ERN was found to generalize beyond OCD within the anxiety spectrum disorders but also shows some specificity within these disorders."
Examination of evaluative threat in worry: Insights from the Error-Related Negativity (ERN),[],"Recent research suggests atypical error-monitoring is important to understanding pathological anxiety. Because uncertainty is a transdiagnostic factor associated with anxiety and related disorders, recent research has begun to examine the influence of uncertainty in error-monitoring. Moreover, task irrelevant threat has been shown to influence cognitive performance in individuals with maladaptive anxiety. The current study aims to merge these literatures by examining the influence of task-irrelevant uncertain evaluative threat on error-monitoring using an event-related brain potential, the error-related negativity (ERN). Considering extensive literature indicating a relationship between worry and the ERN, worry was included as a continuous predictor in the analyses. Participants were randomly assigned to either a condition of negative or uncertain evaluative threat to determine their influence on error-monitoring in a Flankers task. Results for the ERN suggest that the ERN was significantly reduced only for the uncertain evaluative threat condition. The current study suggests that uncertain evaluative threat distractors result in a subsequent reduction in error-monitoring. This is consistent with literature suggesting that anxiety impairs inhibition of attentional processing of task irrelevant threatening information. This study adds to the burgeoning literature on the malleability of the ERN. Future research is needed to determine the mechanisms underlying this effect."
Impact of anxiety symptoms and problematic alcohol use on error-related brain activity,[],"Anxiety disorders are associated with enhanced defensive reactivity to errors, measured via the error-related negativity (ERN). There is some evidence to suggest that problematic alcohol use is also associated with an enhanced ERN; although prior studies have been almost exclusively in men and have yet to examine the potential interactive effects of anxiety and alcohol abuse symptoms. The aim of the current study was to address the gaps in this literature by examining the unique and interactive effects of anxiety symptoms and problematic alcohol use on the ERN in a sample of 79 heterogeneous internalizing disorder patients. All participants completed a flanker task designed to robustly elicit the ERN and questionnaires assessing current internalizing symptoms and problematic alcohol use. As expected, results revealed that greater anxiety symptoms, but not depressive symptoms, were associated with a more enhanced ERN. There was no main effect of problematic alcohol use but there was a significant anxiety by problematic alcohol use interaction. At high anxiety symptoms, greater problematic alcohol use was associated with a more enhanced ERN; at low anxiety symptoms, alcohol use was unrelated to the ERN. There was no depression by alcohol abuse interaction. The findings suggest that within anxious individuals, heightened reactivity to errors/threat may be related to risk for alcohol abuse. The findings also converge with a broader literature suggesting that heightened reactivity to threat may be a shared vulnerability factor for anxiety and alcohol abuse and a novel prevention and intervention target for anxiety-alcohol abuse comorbidity."
Investigation of burnout syndrome and job-related risk factors in veterinary technicians in specialty teaching hospitals: a multicenter cross-sectional study,[],"Objectives:                         To investigate veterinary technician burnout and associations with frequency of self-reported medical error, resilience, and depression and job-related risk factors."
Associations Between Maternal Mental Health and Well-being and Physical Activity and Sedentary Behavior in Children,[],"Objective:                         This study assessed whether aspects of maternal mental health and well-being were associated with objective monitor-based measures of child's physical activity (PA) and sedentary behavior (SB) and the extent to which household structure (i.e., single- vs multigenerational/dual-parent) and maternal employment (i.e., full-time vs not full-time) moderated those associations."
Effects of menstrual cycle phase on associations between the error-related negativity and checking symptoms in women,[],"The menstrual cycle is known to impact mood and cognitive function and has been shown to lead to variability in symptoms of obsessive-compulsive disorders and anxiety. Using a within-subject design, the present study examined ovarian hormones, the error-related negativity (ERN), and self-reported checking symptoms in both the mid-follicular and mid-luteal phases of the menstrual cycle. ERN amplitude and checking symptom severity did not vary between the follicular and luteal phases. However, a more negative ERN was associated with greater checking symptoms in the luteal phase of the menstrual cycle, even when controlling for ERN amplitude in the follicular phase. Moreover, changes in checking symptoms between phases were associated with phase-related changes in the ERN. Finally, a significant mediation model was found such that the ERN measured in the luteal phase mediated the association between progesterone in the luteal phase and checking symptoms in the luteal phase. Collectively, the present findings suggest that levels of progesterone in the luteal phase could impact checking symptoms by modulating response monitoring and sensitivity to errors, and that fluctuation in the ERN between menstrual cycle phases may play an important role in the expression of anxious and obsessive-compulsive symptoms."
Error-related negativity and tic history in pediatric obsessive-compulsive disorder,[],"Objective:                         The error-related negativity (ERN) is a negative deflection in the event-related potential after an incorrect response, which is often increased in patients with obsessive-compulsive disorder (OCD). However, the relation of the ERN to comorbid tic disorders has not been examined in patients with OCD. This study compared ERN amplitudes in patients with tic-related OCD, patients with non-tic-related OCD, and healthy controls."
Enhancing surgical performance by adopting expert musicians' practice and performance strategies,[],"Background:                         Surgery is a performing art-each surgical procedure is a live performance that has immediate and irreversible consequences for both the performer and the audience. Surgeons operate with surgical instruments, whereas musicians perform with musical instruments. Both perform in high-stress, high-risk work environments, where small errors in motor performance or judgment can have immediate negative consequences. While there is abundant literature on musical performance and their impact on outcome, little similar research has been published in the field of surgery. We aimed at identifying expert musicians' practice and performance strategies that may aid surgeons to enhance their surgical performance."
Impact of pubertal timing and depression on error-related brain activity in anxious youth,[],"Anxiety disorders are associated with enhanced error-related negativity (ERN) across development but it remains unclear whether alterations in brain electrophysiology are linked to the timing of puberty. Pubertal timing and alterations of prefrontal and limbic development are implicated in risk for depression, but the interplay of these factors on the ERN-anxiety association has not been assessed. We examined the unique and interactive effects of pubertal timing and depression on the ERN in a sample of youth 10-19 years old with anxiety disorders (n = 30) or no history of psychopathology (n = 30). Earlier pubertal maturation was associated with an enhanced ERN. Among early, but not late maturing youth, higher depressive symptoms were associated with a reduced ERN. The magnitude of neural reactivity to errors is sensitive to anxiety, depression, and development. Early physical maturation and anxiety may heighten neural sensitivity to errors yet predict opposing effects in the context of depression."
